Enhetsnamn,Rn-sniffer
Enhets-SN,HA02EQ000142
Radonenhet,Bq/m3
Antal data,2260
Varaktighet,01/09/2024 ~ 30/11/2024
Mättid,Radonavläsning per timme
05/10/2024 09:14,265
05/10/2024 10:14,273
05/10/2024 11:14,280
05/10/2024 12:14,288
05/10/2024 13:14,222
05/10/2024 14:14,208
05/10/2024 15:14,213
05/10/2024 16:14,189
05/10/2024 17:14,186
05/10/2024 18:14,164
05/10/2024 19:14,202
05/10/2024 20:14,209
05/10/2024 21:14,155
05/10/2024 22:14,208
05/10/2024 23:14,182
06/10/2024 00:14,189
06/10/2024 01:14,213
06/10/2024 02:14,226
06/10/2024 03:14,211
06/10/2024 04:14,243
06/10/2024 05:14,239
06/10/2024 06:14,241
06/10/2024 07:14,286
06/10/2024 08:14,278
06/10/2024 09:14,280
06/10/2024 10:14,228
06/10/2024 11:14,256
06/10/2024 12:14,233
06/10/2024 13:14,224
06/10/2024 14:14,220
06/10/2024 15:14,173
06/10/2024 16:14,178
06/10/2024 17:14,126
06/10/2024 18:14,118
06/10/2024 19:14,111
06/10/2024 20:14,131
06/10/2024 21:14,144
06/10/2024 22:14,149
06/10/2024 23:14,171
07/10/2024 00:14,209
07/10/2024 01:14,165
07/10/2024 02:14,222
07/10/2024 03:14,241
07/10/2024 04:14,241
07/10/2024 05:14,246
07/10/2024 06:14,245
07/10/2024 07:14,243
07/10/2024 08:14,233
07/10/2024 09:14,224
07/10/2024 10:14,235
07/10/2024 11:14,250
07/10/2024 12:14,243
07/10/2024 13:14,275
07/10/2024 14:14,232
07/10/2024 15:14,217
07/10/2024 16:14,217
07/10/2024 17:14,233
07/10/2024 18:14,217
07/10/2024 19:14,197
07/10/2024 20:14,187
07/10/2024 21:14,165
07/10/2024 22:14,195
07/10/2024 23:14,171
08/10/2024 00:14,208
08/10/2024 01:14,237
08/10/2024 02:14,239
08/10/2024 03:14,263
08/10/2024 04:14,258
08/10/2024 05:14,282
08/10/2024 06:14,276
08/10/2024 07:14,278
08/10/2024 08:14,265
08/10/2024 09:14,271
08/10/2024 10:14,271
08/10/2024 11:14,243
08/10/2024 12:14,215
08/10/2024 13:14,206
08/10/2024 14:14,230
08/10/2024 15:14,202
08/10/2024 16:14,219
08/10/2024 17:14,197
08/10/2024 18:14,208
08/10/2024 19:14,222
08/10/2024 20:14,189
08/10/2024 21:14,215
08/10/2024 22:14,233
08/10/2024 23:14,246
09/10/2024 00:14,250
09/10/2024 01:14,275
09/10/2024 02:14,260
09/10/2024 03:14,263
09/10/2024 04:14,301
09/10/2024 05:14,349
09/10/2024 06:14,335
09/10/2024 07:14,297
09/10/2024 08:14,326
09/10/2024 09:14,341
09/10/2024 10:14,349
09/10/2024 11:14,345
09/10/2024 12:14,366
09/10/2024 13:14,396
09/10/2024 14:14,471
09/10/2024 15:14,429
09/10/2024 16:14,320
09/10/2024 17:14,230
09/10/2024 18:14,204
09/10/2024 19:14,224
09/10/2024 20:14,290
09/10/2024 21:14,235
09/10/2024 22:14,258
09/10/2024 23:14,276
10/10/2024 00:14,309
10/10/2024 01:14,349
10/10/2024 02:14,269
10/10/2024 03:14,282
10/10/2024 04:14,334
10/10/2024 05:14,359
10/10/2024 06:14,366
10/10/2024 07:14,326
10/10/2024 08:14,292
10/10/2024 09:14,301
10/10/2024 10:14,275
10/10/2024 11:14,311
10/10/2024 12:14,271
10/10/2024 13:14,258
10/10/2024 14:14,230
10/10/2024 15:14,252
10/10/2024 16:14,206
